ciudad,temp_c,humedad,precip_mm,viento_kmh,fecha
Rancagua,20.3,65.0,2.7,16.0,2026-05-14
La Serena,,62.0,5.2,19.4,2026-01-13
La Serena,23.2,87.0,2.3,10.1,2026-03-02
Iquique,15.8,84.0,0.7,25.9,2026-03-21
Puerto Montt,3.8,78.0,0.5,24.7,2026-05-18
La Serena,,61.0,2.6,20.7,2026-01-08
Valparaíso,14.6,71.0,0.3,23.5,2026-03-24
Puerto Montt,6.0,90.0,0.2,20.5,2026-04-22
Antofagasta,26.5,62.0,1.9,28.0,2026-01-15
Temuco,10.9,46.0,2.8,12.6,2026-05-03
Santiago,20.6,61.0,0.7,22.8,2026-05-22
Iquique,22.4,73.0,8.1,6.0,2026-01-25
La Serena,14.2,49.0,1.6,16.9,2026-05-09
Talca,16.1,32.0,1.1,4.4,2026-05-30
TEMUCO,7.1,55.0,0.9,20.7,2026-04-14
TEMUCO,17.6,46.0,4.3,13.0,2026-06-13
Santiago,14.9,61.0,0.9,22.5,2026-05-16
Temuco,7.4,75.0,2.7,17.4,2026-06-07
Rancagua,,78.0,3.9,8.1,2026-03-11
Puerto Montt,5.6,86.0,2.6,16.2,2026-03-04
Santiago,21.6,47.0,0.3,35.5,2026-04-13
Concepción,2.1,51.0,1.0,14.2,2026-05-21
Rancagua,17.9,73.0,2.8,18.3,2026-03-28
Santiago,15.6,,2.3,28.3,2026-03-25
Iquique,24.0,80.0,1.8,20.1,2026-02-27
Santiago,17.0,58.0,2.3,24.2,2026-01-21
PUERTO MONTT,7.5,58.0,0.5,36.4,2026-03-20
Valparaíso,10.6,38.0,3.8,31.7,2026-01-14
Talca,19.2,57.0,0.8,16.4,2026-04-27
Valparaíso,5.0,73.0,1.3,12.7,2026-06-03
Iquique,18.5,59.0,0.4,17.9,2026-05-08
Talca,14.3,67.0,3.4,27.5,2026-02-26
Temuco,1.9,,1.1,17.2,2026-02-24
Puerto Montt,8.7,83.0,1.0,23.3,2026-04-10
Iquique,22.8,72.0,0.8,12.8,02/05/2026
Iquique,17.2,79.0,2.0,19.7,2026-03-23
Antofagasta,31.7,66.0,5.5,19.2,2026-04-25
Temuco,14.3,72.0,0.1,19.7,2026-05-19
La Serena,12.6,49.0,4.7,0.0,2026-02-07
Concepción,3.0,90.0,3.8,38.8,2026-04-04
Puerto Montt,9.6,58.0,7.2,24.8,2026-02-23
Valparaíso,,54.0,2.3,38.0,2026-05-28
Concepción,12.7,44.0,0.5,19.9,2026-03-13
Concepción,13.5,88.0,4.8,35.9,2026-06-02
Rancagua,13.0,39.0,2.7,36.4,2026-02-25
Rancagua,10.6,67.0,1.7,4.0,2026-03-09
Rancagua,14.4,43.0,3.8,19.0,2026-06-09
Antofagasta,13.6,33.0,2.3,10.3,2026-06-10
