facultad,turno,dia_semana,tipo_pedido,metodo_pago,nivel_academico,semana_mes,gasto_total,tiempo_espera_min,calificacion_servicio,items_pedido,propina_porcentaje
Ciencias,Mañana,Jueves,Almuerzo,Débito,Postgrado,1,4.28,8.6,4.8,3,7.7
Ciencias,Mañana,Jueves,Almuerzo,QR,Postgrado,2,4.98,9.0,3.9,3,13.6
Ciencias,Mañana,Jueves,Snack,Débito,Postgrado,2,3.42,10.7,3.3,1,12.2
Ciencias,Mañana,Jueves,Almuerzo,Débito,Postgrado,2,3.64,9.5,4.0,1,5.3
Ciencias,Mañana,Jueves,Bebida,Débito,Postgrado,3,1.17,5.7,4.8,2,7.6
Ciencias,Mañana,Jueves,Bebida,Débito,Pregrado,4,0.8,6.9,4.9,1,1.6
Ciencias,Mañana,Lunes,Bebida,Efectivo,Pregrado,2,1.49,8.4,4.5,1,12.2
Ciencias,Mañana,Lunes,Almuerzo,Débito,Postgrado,3,4.89,12.8,2.5,4,9.9
Ciencias,Mañana,Lunes,Colación,QR,Postgrado,2,2.77,6.0,3.8,1,14.7
Ciencias,Mañana,Lunes,Bebida,QR,Pregrado,2,1.14,5.8,3.9,1,16.9
Ciencias,Mañana,Lunes,Bebida,Débito,Pregrado,2,1.06,4.9,4.6,1,8.2
Ciencias,Mañana,Lunes,Colación,Efectivo,Pregrado,3,2.27,5.5,5.0,1,10.6
Ciencias,Mañana,Lunes,Almuerzo,QR,Postgrado,3,4.3,7.7,4.0,2,13.8
Ciencias,Mañana,Miércoles,Almuerzo,Débito,Pregrado,1,3.53,11.6,4.6,2,5.4
Ciencias,Mañana,Miércoles,Almuerzo,Débito,Pregrado,3,3.8,10.6,4.0,4,7.0
Ciencias,Mañana,Miércoles,Bebida,Débito,Pregrado,4,2.64,9.7,4.5,4,0.8
Ciencias,Mañana,Miércoles,Almuerzo,QR,Pregrado,3,5.36,11.0,4.1,2,8.7
Ciencias,Mañana,Miércoles,Almuerzo,Débito,Pregrado,3,3.88,11.6,3.6,4,5.8
Ciencias,Mañana,Viernes,Snack,Débito,Pregrado,2,4.25,9.6,4.5,2,3.5
Ciencias,Mañana,Viernes,Colación,Débito,Pregrado,1,3.19,9.4,4.4,2,8.4
Ciencias,Mañana,Viernes,Colación,Débito,Pregrado,3,3.38,14.4,4.9,1,7.5
Ciencias,Mañana,Viernes,Almuerzo,Débito,Pregrado,3,4.69,12.1,4.0,3,5.4
Ciencias,Mañana,Viernes,Almuerzo,QR,Postgrado,1,5.6,12.4,3.1,4,12.9
Ciencias,Noche,Jueves,Almuerzo,Débito,Pregrado,2,4.21,9.4,3.7,2,5.8
Ciencias,Noche,Lunes,Colación,Efectivo,Pregrado,4,2.22,6.6,4.5,1,8.2
Ciencias,Noche,Lunes,Bebida,Débito,Pregrado,3,3.18,8.6,4.7,1,9.7
Ciencias,Noche,Lunes,Almuerzo,QR,Pregrado,3,4.63,4.9,4.4,2,10.7
Ciencias,Noche,Lunes,Almuerzo,Efectivo,Pregrado,1,5.36,10.5,2.7,3,7.3
Ciencias,Noche,Lunes,Colación,QR,Pregrado,2,2.96,2.9,3.3,1,10.2
Ciencias,Noche,Lunes,Almuerzo,Débito,Pregrado,2,5.53,10.2,3.9,4,12.4
Ciencias,Noche,Martes,Almuerzo,Débito,Pregrado,1,5.69,16.3,4.9,2,9.6
Ciencias,Noche,Martes,Bebida,Efectivo,Postgrado,1,1.97,7.5,4.4,3,13.3
Ciencias,Noche,Martes,Bebida,Efectivo,Postgrado,1,2.24,5.5,3.9,1,8.6
Ciencias,Noche,Miércoles,Bebida,Débito,Pregrado,3,2.03,4.1,4.1,1,5.2
Ciencias,Noche,Miércoles,Colación,Efectivo,Pregrado,3,2.45,6.6,4.2,3,2.9
Ciencias,Noche,Viernes,Almuerzo,Débito,Pregrado,4,3.95,6.9,4.6,1,5.5
Ciencias,Noche,Viernes,Snack,Efectivo,Pregrado,3,3.2,5.7,3.9,2,6.0
Ciencias,Noche,Viernes,Colación,QR,Pregrado,4,3.88,9.9,2.8,3,9.0
Ciencias,Noche,Viernes,Bebida,QR,Pregrado,2,1.53,7.2,5.0,3,12.9
Ciencias,Tarde,Jueves,Almuerzo,Débito,Pregrado,1,6.06,14.6,4.7,5,5.5
Ciencias,Tarde,Jueves,Almuerzo,Débito,Pregrado,1,3.22,12.1,3.4,4,6.9
Ciencias,Tarde,Jueves,Colación,QR,Pregrado,1,3.98,10.8,4.9,3,7.3
Ciencias,Tarde,Jueves,Snack,Efectivo,Pregrado,3,2.72,11.4,3.7,3,4.6
Ciencias,Tarde,Jueves,Bebida,Efectivo,Pregrado,3,2.01,11.5,3.4,2,7.1
Ciencias,Tarde,Jueves,Colación,Efectivo,Postgrado,3,4.37,12.2,4.3,1,14.1
Ciencias,Tarde,Lunes,Colación,QR,Postgrado,2,3.67,11.5,3.4,3,19.1
Ciencias,Tarde,Lunes,Colación,Débito,Pregrado,2,3.43,13.5,3.8,1,6.2
Ciencias,Tarde,Lunes,Almuerzo,Débito,Pregrado,2,4.18,7.1,2.9,1,7.9
Ciencias,Tarde,Martes,Snack,Efectivo,Postgrado,4,2.86,7.9,4.0,1,10.3
Ciencias,Tarde,Martes,Colación,QR,Pregrado,1,3.14,13.0,4.5,1,9.2
Ciencias,Tarde,Martes,Snack,Débito,Pregrado,4,2.82,11.5,3.8,1,3.7
Ciencias,Tarde,Martes,Bebida,Débito,Postgrado,2,2.83,11.7,4.4,1,6.0
Ciencias,Tarde,Martes,Colación,Débito,Postgrado,2,3.39,12.5,4.5,1,6.8
Ciencias,Tarde,Martes,Bebida,QR,Pregrado,4,1.9,9.2,4.2,1,11.2
Ciencias,Tarde,Martes,Bebida,Débito,Postgrado,2,3.35,9.8,4.1,1,12.9
Ciencias,Tarde,Martes,Almuerzo,QR,Pregrado,1,4.79,12.5,4.6,2,8.0
Ciencias,Tarde,Martes,Bebida,Efectivo,Postgrado,1,3.83,7.5,3.5,2,9.5
Ciencias,Tarde,Miércoles,Colación,Débito,Pregrado,3,2.76,9.2,4.4,1,5.7
Ciencias,Tarde,Miércoles,Snack,Débito,Pregrado,2,3.65,13.6,3.9,1,2.7
Ciencias,Tarde,Miércoles,Bebida,Débito,Pregrado,4,2.2,13.3,4.6,2,9.8
Ciencias,Tarde,Miércoles,Colación,QR,Pregrado,2,3.69,17.9,4.3,1,10.4
Ciencias,Tarde,Miércoles,Colación,Débito,Pregrado,3,4.03,16.8,3.7,1,8.7
