id_lote,producto,turno,unidades_producidas,costo_unitario,temperatura_horno,tiempo_ciclo_min,defectos,costo_total
L001,Abrazadera D,Tarde,114,1.95,204.4,37.8,8.0,222.3
L002,Válvula E,Tarde,306,2.83,230.8,56.8,11.0,865.98
L003,Tuerca C,Tarde,180,3.66,242.8,44.8,4.0,658.8
L004,Válvula E,Tarde,210,2.14,242.1,38.5,0.0,449.4
L005,Válvula E,Tarde,336,4.87,234.6,14.9,9.0,1636.32
L006,Perno B,Mañana,84,4.83,,40.8,9.0,405.72
L007,Tuerca C,Noche,297,1.63,185.9,59.5,0.0,484.11
L008,Tuerca C,Tarde,334,2.74,191.3,17.0,14.0,915.16
L009,Tuerca C,Tarde,362,1.85,242.9,35.9,1.0,669.7
L010,Válvula E,Tarde,286,1.78,222.5,53.9,13.0,509.08
L011,Abrazadera D,Tarde,94,0.67,180.6,47.0,5.0,62.98
L012,Tuerca C,Tarde,121,3.24,187.1,44.9,8.0,392.04
L013,Válvula E,Tarde,258,,226.4,45.1,7.0,712.08
L014,Perno B,Noche,142,0.73,180.4,28.0,12.0,103.66
L015,Abrazadera D,Noche,310,1.75,191.3,24.7,4.0,542.5
L016,Perno B,Tarde,320,4.59,218.4,50.5,0.0,1468.8
L017,Abrazadera D,Noche,131,1.58,228.4,50.5,12.0,206.98
L018,Válvula E,Mañana,175,1.15,225.6,53.4,6.0,201.25
L019,Tornillo A,Tarde,301,2.7,195.7,55.7,14.0,812.7
L020,Abrazadera D,Mañana,310,4.94,229.9,35.6,4.0,1531.4
L021,Perno B,Mañana,316,1.59,196.6,35.1,5.0,502.44
L022,Válvula E,Tarde,222,3.52,202.8,49.9,12.0,781.44
L023,Abrazadera D,Noche,250,3.93,232.3,42.5,6.0,982.5
L024,Tornillo A,Mañana,108,1.57,225.5,45.1,2.0,169.56
L025,Tornillo A,Tarde,115,3.78,239.4,49.8,11.0,434.7
L026,Tuerca C,Mañana,92,2.16,226.0,54.5,9.0,198.72
L027,Tuerca C,Mañana,239,3.35,219.8,26.9,2.0,800.65
L028,Perno B,Mañana,266,3.35,186.6,-5.0,4.0,891.1
L029,Abrazadera D,Mañana,322,2.91,205.7,14.7,5.0,937.02
L030,Abrazadera D,Noche,165,0.91,198.6,38.9,8.0,150.15
L031,Tuerca C,Mañana,363,4.26,197.1,11.8,12.0,1546.38
L032,Abrazadera D,Mañana,145,1.94,248.1,33.3,13.0,281.3
L033,Abrazadera D,Mañana,249,1.34,207.5,37.1,11.0,333.66
L034,Tornillo A,Noche,124,0.68,999.9,24.3,4.0,84.32
L035,Tuerca C,Mañana,141,3.16,224.2,39.5,14.0,445.56
L036,Válvula E,Mañana,213,3.55,235.6,11.5,0.0,756.15
L037,Tuerca C,Noche,363,0.57,215.2,11.9,13.0,206.91
L038,Válvula E,Noche,107,2.8,220.4,51.1,13.0,299.6
L039,Tornillo A,Noche,187,1.52,214.5,28.0,13.0,284.24
L040,Perno B,Mañana,123,3.4,193.7,16.4,3.0,418.2
L041,Abrazadera D,Noche,365,1.28,230.6,36.1,4.0,467.2
L042,Tornillo A,Noche,207,3.61,199.7,48.5,11.0,747.27
L043,Abrazadera D,Mañana,310,2.24,181.7,20.8,9.0,694.4
L044,Perno B,Noche,269,4.72,225.2,41.1,9.0,1269.68
L045,Perno B,Mañana,304,1.12,192.4,14.3,4.0,340.48
L046,Tornillo A,Tarde,362,2.03,245.8,12.6,,734.86
L047,Perno B,Noche,200,1.01,246.8,36.6,3.0,202.0
L048,Válvula E,Tarde,195,4.66,244.0,37.0,0.0,908.7
L049,Perno B,Mañana,312,4.45,205.9,41.9,13.0,1388.4
L050,Abrazadera D,Noche,338,1.66,181.1,46.3,13.0,561.08
L051,Abrazadera D,Mañana,277,3.47,245.0,58.8,4.0,961.19
L052,Abrazadera D,Tarde,216,4.18,210.0,35.8,6.0,902.88
L053,Abrazadera D,Mañana,397,3.0,247.7,26.1,9.0,1191.0
L054,Válvula E,Noche,244,2.88,247.5,49.8,9.0,702.72
L055,Tuerca C,Noche,304,1.59,239.7,23.5,5.0,483.36
L056,Tornillo A,Tarde,386,0.92,200.6,31.9,4.0,355.12
L057,Abrazadera D,Mañana,313,4.54,207.0,13.9,3.0,1421.02
L058,Perno B,Noche,251,4.55,239.6,11.3,1.0,1142.05
L059,Abrazadera D,Tarde,231,3.35,202.2,58.1,3.0,773.85
L060,Perno B,Noche,394,2.03,191.9,51.8,14.0,799.82
